,State Code,Occupation,Total Main Worker (Person)
250,5,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,294407
251,5,Personal and Protective Service Workers,92322
252,5,"Models, Sales Persons and Demonstrators",202085
253,5,SKILLED AGRICULTURAL AND FISHERY WORKERS,23197
254,5,Market Oriented Skilled Agricultural and Fishery Workers,23181
255,5,Subsistence Agricultural and Fishery Workers,16
256,5,CRAFT AND RELATED TRADES WORKERS,182989
257,5,Extraction and Building Trades Workers,73265
258,5,"Metal, Machinery and Related Trades Workers",41245
259,5,"Precision, Handicraft, Printing and Related Trades Workers",15257
260,5,Other Craft and Related Trades Workers,53222
261,5,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,109450
262,5,Stationary Plant and Related Operators,7409
263,5,Machine Operators and Assemblers,31934
264,5,Drivers and Mobile-Plant Operators,70107
265,5,ELEMENTARY OCCUPATIONS,247633
266,5,Sales and Services Elementary Occupations,72296
267,5,"Agricultural, Fishery and Related Labourers",6579
268,5,"Labourers in Mining, Construction, Manufacturing and Transport",168758
269,5,WORKERS NOT CLASSIFIED BY OCCUPATIONS,216417
270,5,Workers Not Reporting Any Occupations,216417
271,6,TOTAL,3963772
272,6,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",239907
273,6,Legislators and Senior Officials,65064
274,6,Corporate Managers,171175
275,6,General Managers,3668
276,6,PROFESSIONALS,250725
277,6,"Physical, Mathematical and Engineering Science Professionals",62282
278,6,Life Science and Health Professionals,42441
279,6,Teaching Professionals,54584
280,6,Other Professionals,91418
281,6,TECHNICIANS AND ASSOCIATE PROFESSIONALS,360825
282,6,Physical and Engineering Science Associate Professionals,26265
283,6,Life Science and Health Associate Professionals,41452
284,6,Teaching Associate Professionals,134982
285,6,Other Associate Professionals,158126
286,6,CLERKS,117973
287,6,Office Clerks,110317
288,6,Customer Services Clerks,7656
289,6,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,687483
290,6,Personal and Protective Service Workers,169935
291,6,"Models, Sales Persons and Demonstrators",517548
292,6,SKILLED AGRICULTURAL AND FISHERY WORKERS,118045
293,6,Market Oriented Skilled Agricultural and Fishery Workers,118027
294,6,Subsistence Agricultural and Fishery Workers,18
295,6,CRAFT AND RELATED TRADES WORKERS,440388
296,6,Extraction and Building Trades Workers,172049
297,6,"Metal, Machinery and Related Trades Workers",130082
298,6,"Precision, Handicraft, Printing and Related Trades Workers",20123
299,6,Other Craft and Related Trades Workers,118134
300,6,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,413185
301,6,Stationary Plant and Related Operators,82478
302,6,Machine Operators and Assemblers,84361
303,6,Drivers and Mobile-Plant Operators,246346
304,6,ELEMENTARY OCCUPATIONS,794619
305,6,Sales and Services Elementary Occupations,220331
306,6,"Agricultural, Fishery and Related Labourers",11069
307,6,"Labourers in Mining, Construction, Manufacturing and Transport",563219
308,6,WORKERS NOT CLASSIFIED BY OCCUPATIONS,540622
309,6,Workers Not Reporting Any Occupations,540622
310,7,TOTAL,5081269
311,7,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",412506
312,7,Legislators and Senior Officials,95297
313,7,Corporate Managers,308320
314,7,General Managers,8889
315,7,PROFESSIONALS,371850
316,7,"Physical, Mathematical and Engineering Science Professionals",129625
317,7,Life Science and Health Professionals,41706
318,7,Teaching Professionals,65937
319,7,Other Professionals,134582
320,7,TECHNICIANS AND ASSOCIATE PROFESSIONALS,512593
321,7,Physical and Engineering Science Associate Professionals,34742
322,7,Life Science and Health Associate Professionals,54204
323,7,Teaching Associate Professionals,111114
324,7,Other Associate Professionals,312533
325,7,CLERKS,212673
326,7,Office Clerks,188553
327,7,Customer Services Clerks,24120
328,7,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1038765
329,7,Personal and Protective Service Workers,199497
330,7,"Models, Sales Persons and Demonstrators",839268
331,7,SKILLED AGRICULTURAL AND FISHERY WORKERS,26501
332,7,Market Oriented Skilled Agricultural and Fishery Workers,26501
333,7,CRAFT AND RELATED TRADES WORKERS,706947
334,7,Extraction and Building Trades Workers,198500
335,7,"Metal, Machinery and Related Trades Workers",174183
336,7,"Precision, Handicraft, Printing and Related Trades Workers",65343
337,7,Other Craft and Related Trades Workers,268921
338,7,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,502564
339,7,Stationary Plant and Related Operators,40166
340,7,Machine Operators and Assemblers,204467
341,7,Drivers and Mobile-Plant Operators,257931
342,7,ELEMENTARY OCCUPATIONS,848925
343,7,Sales and Services Elementary Occupations,434610
344,7,"Agricultural, Fishery and Related Labourers",996
345,7,"Labourers in Mining, Construction, Manufacturing and Transport",413319
346,7,WORKERS NOT CLASSIFIED BY OCCUPATIONS,447945
347,7,Workers Not Reporting Any Occupations,447945
348,8,TOTAL,8512494
349,8,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",198556
350,8,Legislators and Senior Officials,21628
351,8,Corporate Managers,173747
352,8,General Managers,3181
353,8,PROFESSIONALS,453186
354,8,"Physical, Mathematical and Engineering Science Professionals",54227
355,8,Life Science and Health Professionals,49387
356,8,Teaching Professionals,117167
357,8,Other Professionals,232405
358,8,TECHNICIANS AND ASSOCIATE PROFESSIONALS,773911
359,8,Physical and Engineering Science Associate Professionals,47971
360,8,Life Science and Health Associate Professionals,152345
361,8,Teaching Associate Professionals,377435
362,8,Other Associate Professionals,196160
363,8,CLERKS,229343
364,8,Office Clerks,213625
365,8,Customer Services Clerks,15718
366,8,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1614368
367,8,Personal and Protective Service Workers,394457
368,8,"Models, Sales Persons and Demonstrators",1219911
369,8,SKILLED AGRICULTURAL AND FISHERY WORKERS,471932
370,8,Market Oriented Skilled Agricultural and Fishery Workers,471922
371,8,Subsistence Agricultural and Fishery Workers,10
372,8,CRAFT AND RELATED TRADES WORKERS,1381104
373,8,Extraction and Building Trades Workers,542634
374,8,"Metal, Machinery and Related Trades Workers",268582
375,8,"Precision, Handicraft, Printing and Related Trades Workers",187418
376,8,Other Craft and Related Trades Workers,382470
377,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,844813
378,8,Stationary Plant and Related Operators,98794
379,8,Machine Operators and Assemblers,208758
380,8,Drivers and Mobile-Plant Operators,537261
381,8,ELEMENTARY OCCUPATIONS,1779888
382,8,Sales and Services Elementary Occupations,297681
383,8,"Agricultural, Fishery and Related Labourers",21561
384,8,"Labourers in Mining, Construction, Manufacturing and Transport",1460646
385,8,WORKERS NOT CLASSIFIED BY OCCUPATIONS,765393
386,8,Workers Not Reporting Any Occupations,765393
387,9,TOTAL,16917229
388,9,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",504993
389,9,Legislators and Senior Officials,100860
390,9,Corporate Managers,401366
391,9,General Managers,2767
392,9,PROFESSIONALS,813458
393,9,"Physical, Mathematical and Engineering Science Professionals",139701
394,9,Life Science and Health Professionals,161408
395,9,Teaching Professionals,225564
396,9,Other Professionals,286785
397,9,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1321481
398,9,Physical and Engineering Science Associate Professionals,84149
399,9,Life Science and Health Associate Professionals,230905
400,9,Teaching Associate Professionals,674095
401,9,Other Associate Professionals,332332
402,9,CLERKS,385463
403,9,Office Clerks,355945
404,9,Customer Services Clerks,29518
405,9,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,3475265
406,9,Personal and Protective Service Workers,1034446
407,9,"Models, Sales Persons and Demonstrators",2440819
408,9,SKILLED AGRICULTURAL AND FISHERY WORKERS,468227
409,9,Market Oriented Skilled Agricultural and Fishery Workers,467908
410,9,Subsistence Agricultural and Fishery Workers,319
411,9,CRAFT AND RELATED TRADES WORKERS,2770177
412,9,Extraction and Building Trades Workers,727623
413,9,"Metal, Machinery and Related Trades Workers",480081
414,9,"Precision, Handicraft, Printing and Related Trades Workers",400638
415,9,Other Craft and Related Trades Workers,1161835
416,9,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1079544
417,9,Stationary Plant and Related Operators,148161
418,9,Machine Operators and Assemblers,333387
419,9,Drivers and Mobile-Plant Operators,597996
420,9,ELEMENTARY OCCUPATIONS,2794246
421,9,Sales and Services Elementary Occupations,760854
422,9,"Agricultural, Fishery and Related Labourers",100300
423,9,"Labourers in Mining, Construction, Manufacturing and Transport",1933092
424,9,WORKERS NOT CLASSIFIED BY OCCUPATIONS,3304375
425,9,Workers Not Reporting Any Occupations,3304375
426,10,TOTAL,5637882
427,10,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",205763
428,10,Legislators and Senior Officials,127735
429,10,Corporate Managers,76949
430,10,General Managers,1079
431,10,PROFESSIONALS,291172
432,10,"Physical, Mathematical and Engineering Science Professionals",45790
433,10,Life Science and Health Professionals,50876
434,10,Teaching Professionals,96627
435,10,Other Professionals,97879
436,10,TECHNICIANS AND ASSOCIATE PROFESSIONALS,590458
437,10,Physical and Engineering Science Associate Professionals,17660
438,10,Life Science and Health Associate Professionals,112424
439,10,Teaching Associate Professionals,370243
440,10,Other Associate Professionals,90131
441,10,CLERKS,141190
442,10,Office Clerks,134166
443,10,Customer Services Clerks,7024
444,10,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1299477
445,10,Personal and Protective Service Workers,276888
446,10,"Models, Sales Persons and Demonstrators",1022589
447,10,SKILLED AGRICULTURAL AND FISHERY WORKERS,115178
448,10,Market Oriented Skilled Agricultural and Fishery Workers,115174
449,10,Subsistence Agricultural and Fishery Workers,4
450,10,CRAFT AND RELATED TRADES WORKERS,743819
451,10,Extraction and Building Trades Workers,266459
452,10,"Metal, Machinery and Related Trades Workers",116749
453,10,"Precision, Handicraft, Printing and Related Trades Workers",79553
454,10,Other Craft and Related Trades Workers,281058
455,10,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,269841
456,10,Stationary Plant and Related Operators,23945
457,10,Machine Operators and Assemblers,62814
458,10,Drivers and Mobile-Plant Operators,183082
459,10,ELEMENTARY OCCUPATIONS,749901
460,10,Sales and Services Elementary Occupations,113699
461,10,"Agricultural, Fishery and Related Labourers",2854
462,10,"Labourers in Mining, Construction, Manufacturing and Transport",633348
463,10,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1231083
464,10,Workers Not Reporting Any Occupations,1231083
465,11,TOTAL,130815
466,11,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6289
467,11,Legislators and Senior Officials,1647
468,11,Corporate Managers,4587
469,11,General Managers,55
470,11,PROFESSIONALS,9177
471,11,"Physical, Mathematical and Engineering Science Professionals",1151
472,11,Life Science and Health Professionals,693
473,11,Teaching Professionals,2536
474,11,Other Professionals,4797
475,11,TECHNICIANS AND ASSOCIATE PROFESSIONALS,16440
476,11,Physical and Engineering Science Associate Professionals,1082
477,11,Life Science and Health Associate Professionals,2656
478,11,Teaching Associate Professionals,7972
479,11,Other Associate Professionals,4730
480,11,CLERKS,5813
481,11,Office Clerks,5535
482,11,Customer Services Clerks,278
483,11,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,21102
484,11,Personal and Protective Service Workers,10382
485,11,"Models, Sales Persons and Demonstrators",10720
486,11,SKILLED AGRICULTURAL AND FISHERY WORKERS,3132
487,11,Market Oriented Skilled Agricultural and Fishery Workers,3132
488,11,CRAFT AND RELATED TRADES WORKERS,11391
489,11,Extraction and Building Trades Workers,6796
490,11,"Metal, Machinery and Related Trades Workers",2592
491,11,"Precision, Handicraft, Printing and Related Trades Workers",450
492,11,Other Craft and Related Trades Workers,1553
493,11,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,13282
494,11,Stationary Plant and Related Operators,699
495,11,Machine Operators and Assemblers,943
496,11,Drivers and Mobile-Plant Operators,11640
497,11,ELEMENTARY OCCUPATIONS,20379
498,11,Sales and Services Elementary Occupations,5015
499,11,"Agricultural, Fishery and Related Labourers",601
500,11,"Labourers in Mining, Construction, Manufacturing and Transport",14763
501,11,WORKERS NOT CLASSIFIED BY OCCUPATIONS,23810
502,11,Workers Not Reporting Any Occupations,23810
503,12,TOTAL,206677
504,12,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",9105
505,12,Legislators and Senior Officials,3437
506,12,Corporate Managers,5655
507,12,General Managers,13
508,12,PROFESSIONALS,12895
509,12,"Physical, Mathematical and Engineering Science Professionals",1552
510,12,Life Science and Health Professionals,2072
511,12,Teaching Professionals,3734
512,12,Other Professionals,5537
513,12,TECHNICIANS AND ASSOCIATE PROFESSIONALS,25036
514,12,Physical and Engineering Science Associate Professionals,2632
515,12,Life Science and Health Associate Professionals,4620
516,12,Teaching Associate Professionals,12991
517,12,Other Associate Professionals,4793
518,12,CLERKS,10234
519,12,Office Clerks,9744
520,12,Customer Services Clerks,490
521,12,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,31083
522,12,Personal and Protective Service Workers,17863
523,12,"Models, Sales Persons and Demonstrators",13220
524,12,SKILLED AGRICULTURAL AND FISHERY WORKERS,6770
525,12,Market Oriented Skilled Agricultural and Fishery Workers,6770
526,12,CRAFT AND RELATED TRADES WORKERS,13492
527,12,Extraction and Building Trades Workers,7804
528,12,"Metal, Machinery and Related Trades Workers",3479
529,12,"Precision, Handicraft, Printing and Related Trades Workers",481
530,12,Other Craft and Related Trades Workers,1728
531,12,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,11085
532,12,Stationary Plant and Related Operators,772
533,12,Machine Operators and Assemblers,795
534,12,Drivers and Mobile-Plant Operators,9518
535,12,ELEMENTARY OCCUPATIONS,40073
536,12,Sales and Services Elementary Occupations,6189
537,12,"Agricultural, Fishery and Related Labourers",6699
538,12,"Labourers in Mining, Construction, Manufacturing and Transport",27185
539,12,WORKERS NOT CLASSIFIED BY OCCUPATIONS,46904
540,12,Workers Not Reporting Any Occupations,46904
541,13,TOTAL,289517
542,13,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13182
543,13,Legislators and Senior Officials,6692
544,13,Corporate Managers,6475
545,13,General Managers,15
546,13,PROFESSIONALS,23324
547,13,"Physical, Mathematical and Engineering Science Professionals",1200
548,13,Life Science and Health Professionals,2226
549,13,Teaching Professionals,9625
550,13,Other Professionals,10273
551,13,TECHNICIANS AND ASSOCIATE PROFESSIONALS,43468
552,13,Physical and Engineering Science Associate Professionals,2463
553,13,Life Science and Health Associate Professionals,6708
554,13,Teaching Associate Professionals,22337
555,13,Other Associate Professionals,11960
556,13,CLERKS,13505
557,13,Office Clerks,12827
558,13,Customer Services Clerks,678
559,13,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,61337
560,13,Personal and Protective Service Workers,29012
561,13,"Models, Sales Persons and Demonstrators",32325
562,13,SKILLED AGRICULTURAL AND FISHERY WORKERS,11662
563,13,Market Oriented Skilled Agricultural and Fishery Workers,11662
564,13,CRAFT AND RELATED TRADES WORKERS,22447
565,13,Extraction and Building Trades Workers,10506
566,13,"Metal, Machinery and Related Trades Workers",5458
567,13,"Precision, Handicraft, Printing and Related Trades Workers",702
568,13,Other Craft and Related Trades Workers,5781
569,13,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,18200
570,13,Stationary Plant and Related Operators,686
571,13,Machine Operators and Assemblers,1355
572,13,Drivers and Mobile-Plant Operators,16159
573,13,ELEMENTARY OCCUPATIONS,25870
574,13,Sales and Services Elementary Occupations,9470
575,13,"Agricultural, Fishery and Related Labourers",1431
576,13,"Labourers in Mining, Construction, Manufacturing and Transport",14969
577,13,WORKERS NOT CLASSIFIED BY OCCUPATIONS,56522
578,13,Workers Not Reporting Any Occupations,56522
579,14,TOTAL,417759
580,14,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",11809
581,14,Legislators and Senior Officials,4085
582,14,Corporate Managers,7713
583,14,General Managers,11
584,14,PROFESSIONALS,34751
585,14,"Physical, Mathematical and Engineering Science Professionals",2268
586,14,Life Science and Health Professionals,3354
587,14,Teaching Professionals,13849
588,14,Other Professionals,15280
589,14,TECHNICIANS AND ASSOCIATE PROFESSIONALS,54478
590,14,Physical and Engineering Science Associate Professionals,1585
591,14,Life Science and Health Associate Professionals,12591
592,14,Teaching Associate Professionals,29351
593,14,Other Associate Professionals,10951
594,14,CLERKS,13726
595,14,Office Clerks,12767
