,District Code,Occupation,Total Main Worker (Person)
9262,556,Life Science and Health Professionals,2568
9263,556,Teaching Professionals,3982
9264,556,Other Professionals,3412
9265,556,TECHNICIANS AND ASSOCIATE PROFESSIONALS,20008
9266,556,Physical and Engineering Science Associate Professionals,1140
9267,556,Life Science and Health Associate Professionals,3488
9268,556,Teaching Associate Professionals,10524
9269,556,Other Associate Professionals,4856
9270,556,CLERKS,11044
9271,556,Office Clerks,10490
9272,556,Customer Services Clerks,554
9273,556,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,44368
9274,556,Personal and Protective Service Workers,14422
9275,556,"Models, Sales Persons and Demonstrators",29946
9276,556,SKILLED AGRICULTURAL AND FISHERY WORKERS,9206
9277,556,Market Oriented Skilled Agricultural and Fishery Workers,9206
9278,556,CRAFT AND RELATED TRADES WORKERS,51906
9279,556,Extraction and Building Trades Workers,18256
9280,556,"Metal, Machinery and Related Trades Workers",9260
9281,556,"Precision, Handicraft, Printing and Related Trades Workers",1560
9282,556,Other Craft and Related Trades Workers,22830
9283,556,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,25388
9284,556,Stationary Plant and Related Operators,3578
9285,556,Machine Operators and Assemblers,5958
9286,556,Drivers and Mobile-Plant Operators,15852
9287,556,ELEMENTARY OCCUPATIONS,30182
9288,556,Sales and Services Elementary Occupations,5864
9289,556,"Agricultural, Fishery and Related Labourers",7024
9290,556,"Labourers in Mining, Construction, Manufacturing and Transport",17294
9291,556,WORKERS NOT CLASSIFIED BY OCCUPATIONS,17976
9292,556,Workers Not Reporting Any Occupations,17976
9293,557,TOTAL,236350
9294,557,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",8068
9295,557,Legislators and Senior Officials,1172
9296,557,Corporate Managers,6878
9297,557,General Managers,18
9298,557,PROFESSIONALS,12946
9299,557,"Physical, Mathematical and Engineering Science Professionals",2382
9300,557,Life Science and Health Professionals,2662
9301,557,Teaching Professionals,4254
9302,557,Other Professionals,3648
9303,557,TECHNICIANS AND ASSOCIATE PROFESSIONALS,23342
9304,557,Physical and Engineering Science Associate Professionals,936
9305,557,Life Science and Health Associate Professionals,3498
9306,557,Teaching Associate Professionals,14016
9307,557,Other Associate Professionals,4892
9308,557,CLERKS,11202
9309,557,Office Clerks,10622
9310,557,Customer Services Clerks,580
9311,557,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,46000
9312,557,Personal and Protective Service Workers,15614
9313,557,"Models, Sales Persons and Demonstrators",30386
9314,557,SKILLED AGRICULTURAL AND FISHERY WORKERS,9614
9315,557,Market Oriented Skilled Agricultural and Fishery Workers,9614
9316,557,CRAFT AND RELATED TRADES WORKERS,37284
9317,557,Extraction and Building Trades Workers,19214
9318,557,"Metal, Machinery and Related Trades Workers",7860
9319,557,"Precision, Handicraft, Printing and Related Trades Workers",1166
9320,557,Other Craft and Related Trades Workers,9044
9321,557,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,27940
9322,557,Stationary Plant and Related Operators,3076
9323,557,Machine Operators and Assemblers,2720
9324,557,Drivers and Mobile-Plant Operators,22144
9325,557,ELEMENTARY OCCUPATIONS,36574
9326,557,Sales and Services Elementary Occupations,4742
9327,557,"Agricultural, Fishery and Related Labourers",13504
9328,557,"Labourers in Mining, Construction, Manufacturing and Transport",18328
9329,557,WORKERS NOT CLASSIFIED BY OCCUPATIONS,23380
9330,557,Workers Not Reporting Any Occupations,23380
9331,558,TOTAL,210976
9332,558,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",7642
9333,558,Legislators and Senior Officials,854
9334,558,Corporate Managers,6760
9335,558,General Managers,28
9336,558,PROFESSIONALS,10820
9337,558,"Physical, Mathematical and Engineering Science Professionals",2080
9338,558,Life Science and Health Professionals,1784
9339,558,Teaching Professionals,3612
9340,558,Other Professionals,3344
9341,558,TECHNICIANS AND ASSOCIATE PROFESSIONALS,19278
9342,558,Physical and Engineering Science Associate Professionals,712
9343,558,Life Science and Health Associate Professionals,3378
9344,558,Teaching Associate Professionals,11578
9345,558,Other Associate Professionals,3610
9346,558,CLERKS,8558
9347,558,Office Clerks,7892
9348,558,Customer Services Clerks,666
9349,558,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,40120
9350,558,Personal and Protective Service Workers,12210
9351,558,"Models, Sales Persons and Demonstrators",27910
9352,558,SKILLED AGRICULTURAL AND FISHERY WORKERS,6160
9353,558,Market Oriented Skilled Agricultural and Fishery Workers,6154
9354,558,Subsistence Agricultural and Fishery Workers,6
9355,558,CRAFT AND RELATED TRADES WORKERS,33922
9356,558,Extraction and Building Trades Workers,13720
9357,558,"Metal, Machinery and Related Trades Workers",8850
9358,558,"Precision, Handicraft, Printing and Related Trades Workers",988
9359,558,Other Craft and Related Trades Workers,10364
9360,558,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,25230
9361,558,Stationary Plant and Related Operators,1556
9362,558,Machine Operators and Assemblers,3004
9363,558,Drivers and Mobile-Plant Operators,20670
9364,558,ELEMENTARY OCCUPATIONS,36242
9365,558,Sales and Services Elementary Occupations,5670
9366,558,"Agricultural, Fishery and Related Labourers",11720
9367,558,"Labourers in Mining, Construction, Manufacturing and Transport",18852
9368,558,WORKERS NOT CLASSIFIED BY OCCUPATIONS,23004
9369,558,Workers Not Reporting Any Occupations,23004
9370,559,TOTAL,209648
9371,559,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",8286
9372,559,Legislators and Senior Officials,882
9373,559,Corporate Managers,7392
9374,559,General Managers,12
9375,559,PROFESSIONALS,10378
9376,559,"Physical, Mathematical and Engineering Science Professionals",2566
9377,559,Life Science and Health Professionals,1810
9378,559,Teaching Professionals,2308
9379,559,Other Professionals,3694
9380,559,TECHNICIANS AND ASSOCIATE PROFESSIONALS,16854
9381,559,Physical and Engineering Science Associate Professionals,902
9382,559,Life Science and Health Associate Professionals,3526
9383,559,Teaching Associate Professionals,8660
9384,559,Other Associate Professionals,3766
9385,559,CLERKS,10748
9386,559,Office Clerks,10166
9387,559,Customer Services Clerks,582
9388,559,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,41672
9389,559,Personal and Protective Service Workers,13662
9390,559,"Models, Sales Persons and Demonstrators",28010
9391,559,SKILLED AGRICULTURAL AND FISHERY WORKERS,7634
9392,559,Market Oriented Skilled Agricultural and Fishery Workers,7634
9393,559,CRAFT AND RELATED TRADES WORKERS,33486
9394,559,Extraction and Building Trades Workers,17014
9395,559,"Metal, Machinery and Related Trades Workers",7664
9396,559,"Precision, Handicraft, Printing and Related Trades Workers",974
9397,559,Other Craft and Related Trades Workers,7834
9398,559,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,20152
9399,559,Stationary Plant and Related Operators,2604
9400,559,Machine Operators and Assemblers,2382
9401,559,Drivers and Mobile-Plant Operators,15166
9402,559,ELEMENTARY OCCUPATIONS,39852
9403,559,Sales and Services Elementary Occupations,7144
9404,559,"Agricultural, Fishery and Related Labourers",8992
9405,559,"Labourers in Mining, Construction, Manufacturing and Transport",23716
9406,559,WORKERS NOT CLASSIFIED BY OCCUPATIONS,20586
9407,559,Workers Not Reporting Any Occupations,20586
9408,560,TOTAL,163004
9409,560,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",5234
9410,560,Legislators and Senior Officials,1074
9411,560,Corporate Managers,4098
9412,560,General Managers,62
9413,560,PROFESSIONALS,6486
9414,560,"Physical, Mathematical and Engineering Science Professionals",1014
9415,560,Life Science and Health Professionals,1384
9416,560,Teaching Professionals,1356
9417,560,Other Professionals,2732
9418,560,TECHNICIANS AND ASSOCIATE PROFESSIONALS,13572
9419,560,Physical and Engineering Science Associate Professionals,1054
9420,560,Life Science and Health Associate Professionals,2728
9421,560,Teaching Associate Professionals,6506
9422,560,Other Associate Professionals,3284
9423,560,CLERKS,6414
9424,560,Office Clerks,5854
9425,560,Customer Services Clerks,560
9426,560,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,33740
9427,560,Personal and Protective Service Workers,11472
9428,560,"Models, Sales Persons and Demonstrators",22268
9429,560,SKILLED AGRICULTURAL AND FISHERY WORKERS,6772
9430,560,Market Oriented Skilled Agricultural and Fishery Workers,6772
9431,560,CRAFT AND RELATED TRADES WORKERS,32182
9432,560,Extraction and Building Trades Workers,15270
9433,560,"Metal, Machinery and Related Trades Workers",6610
9434,560,"Precision, Handicraft, Printing and Related Trades Workers",864
9435,560,Other Craft and Related Trades Workers,9438
9436,560,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,18130
9437,560,Stationary Plant and Related Operators,2842
9438,560,Machine Operators and Assemblers,3178
9439,560,Drivers and Mobile-Plant Operators,12110
9440,560,ELEMENTARY OCCUPATIONS,28612
9441,560,Sales and Services Elementary Occupations,4670
9442,560,"Agricultural, Fishery and Related Labourers",9332
9443,560,"Labourers in Mining, Construction, Manufacturing and Transport",14610
9444,560,WORKERS NOT CLASSIFIED BY OCCUPATIONS,11862
9445,560,Workers Not Reporting Any Occupations,11862
9446,561,TOTAL,132646
9447,561,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4200
9448,561,Legislators and Senior Officials,692
9449,561,Corporate Managers,3496
9450,561,General Managers,12
9451,561,PROFESSIONALS,6774
9452,561,"Physical, Mathematical and Engineering Science Professionals",1196
9453,561,Life Science and Health Professionals,1254
9454,561,Teaching Professionals,2544
9455,561,Other Professionals,1780
9456,561,TECHNICIANS AND ASSOCIATE PROFESSIONALS,11774
9457,561,Physical and Engineering Science Associate Professionals,696
9458,561,Life Science and Health Associate Professionals,1898
9459,561,Teaching Associate Professionals,6184
9460,561,Other Associate Professionals,2996
9461,561,CLERKS,6014
9462,561,Office Clerks,5692
9463,561,Customer Services Clerks,322
9464,561,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,28990
9465,561,Personal and Protective Service Workers,8828
9466,561,"Models, Sales Persons and Demonstrators",20162
9467,561,SKILLED AGRICULTURAL AND FISHERY WORKERS,4808
9468,561,Market Oriented Skilled Agricultural and Fishery Workers,4808
9469,561,CRAFT AND RELATED TRADES WORKERS,25100
9470,561,Extraction and Building Trades Workers,9074
9471,561,"Metal, Machinery and Related Trades Workers",5970
9472,561,"Precision, Handicraft, Printing and Related Trades Workers",862
9473,561,Other Craft and Related Trades Workers,9194
9474,561,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,14128
9475,561,Stationary Plant and Related Operators,964
9476,561,Machine Operators and Assemblers,2596
9477,561,Drivers and Mobile-Plant Operators,10568
9478,561,ELEMENTARY OCCUPATIONS,20074
9479,561,Sales and Services Elementary Occupations,4418
9480,561,"Agricultural, Fishery and Related Labourers",2902
9481,561,"Labourers in Mining, Construction, Manufacturing and Transport",12754
9482,561,WORKERS NOT CLASSIFIED BY OCCUPATIONS,10784
9483,561,Workers Not Reporting Any Occupations,10784
9484,562,TOTAL,355620
9485,562,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",22374
9486,562,Legislators and Senior Officials,1358
9487,562,Corporate Managers,20892
9488,562,General Managers,124
9489,562,PROFESSIONALS,24982
9490,562,"Physical, Mathematical and Engineering Science Professionals",7324
9491,562,Life Science and Health Professionals,3054
9492,562,Teaching Professionals,6276
9493,562,Other Professionals,8328
9494,562,TECHNICIANS AND ASSOCIATE PROFESSIONALS,27907
9495,562,Physical and Engineering Science Associate Professionals,2375
9496,562,Life Science and Health Associate Professionals,4263
9497,562,Teaching Associate Professionals,9873
9498,562,Other Associate Professionals,11396
9499,562,CLERKS,21875
9500,562,Office Clerks,20465
9501,562,Customer Services Clerks,1410
9502,562,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,69042
9503,562,Personal and Protective Service Workers,18632
9504,562,"Models, Sales Persons and Demonstrators",50410
9505,562,SKILLED AGRICULTURAL AND FISHERY WORKERS,5956
9506,562,Market Oriented Skilled Agricultural and Fishery Workers,5956
9507,562,CRAFT AND RELATED TRADES WORKERS,70015
9508,562,Extraction and Building Trades Workers,31079
9509,562,"Metal, Machinery and Related Trades Workers",21706
9510,562,"Precision, Handicraft, Printing and Related Trades Workers",2644
9511,562,Other Craft and Related Trades Workers,14586
9512,562,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,37428
9513,562,Stationary Plant and Related Operators,3714
9514,562,Machine Operators and Assemblers,6916
9515,562,Drivers and Mobile-Plant Operators,26798
9516,562,ELEMENTARY OCCUPATIONS,53200
9517,562,Sales and Services Elementary Occupations,17604
9518,562,"Agricultural, Fishery and Related Labourers",3136
9519,562,"Labourers in Mining, Construction, Manufacturing and Transport",32460
9520,562,WORKERS NOT CLASSIFIED BY OCCUPATIONS,22841
9521,562,Workers Not Reporting Any Occupations,22841
9522,563,TOTAL,312182
9523,563,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",13092
9524,563,Legislators and Senior Officials,1134
9525,563,Corporate Managers,11896
9526,563,General Managers,62
9527,563,PROFESSIONALS,15512
9528,563,"Physical, Mathematical and Engineering Science Professionals",3556
9529,563,Life Science and Health Professionals,1234
9530,563,Teaching Professionals,3748
9531,563,Other Professionals,6974
9532,563,TECHNICIANS AND ASSOCIATE PROFESSIONALS,21510
9533,563,Physical and Engineering Science Associate Professionals,1096
9534,563,Life Science and Health Associate Professionals,5126
9535,563,Teaching Associate Professionals,10238
9536,563,Other Associate Professionals,5050
9537,563,CLERKS,12320
9538,563,Office Clerks,11660
9539,563,Customer Services Clerks,660
9540,563,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,50806
9541,563,Personal and Protective Service Workers,19172
9542,563,"Models, Sales Persons and Demonstrators",31634
9543,563,SKILLED AGRICULTURAL AND FISHERY WORKERS,36270
9544,563,Market Oriented Skilled Agricultural and Fishery Workers,36270
9545,563,CRAFT AND RELATED TRADES WORKERS,43094
9546,563,Extraction and Building Trades Workers,19680
9547,563,"Metal, Machinery and Related Trades Workers",9674
9548,563,"Precision, Handicraft, Printing and Related Trades Workers",3842
9549,563,Other Craft and Related Trades Workers,9898
9550,563,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,26896
9551,563,Stationary Plant and Related Operators,6366
9552,563,Machine Operators and Assemblers,3314
9553,563,Drivers and Mobile-Plant Operators,17216
9554,563,ELEMENTARY OCCUPATIONS,79550
9555,563,Sales and Services Elementary Occupations,10166
9556,563,"Agricultural, Fishery and Related Labourers",40712
9557,563,"Labourers in Mining, Construction, Manufacturing and Transport",28672
9558,563,WORKERS NOT CLASSIFIED BY OCCUPATIONS,13132
9559,563,Workers Not Reporting Any Occupations,13132
9560,564,TOTAL,167914
9561,564,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6126
9562,564,Legislators and Senior Officials,856
9563,564,Corporate Managers,5248
9564,564,General Managers,22
9565,564,PROFESSIONALS,8772
9566,564,"Physical, Mathematical and Engineering Science Professionals",1324
9567,564,Life Science and Health Professionals,1400
9568,564,Teaching Professionals,2814
9569,564,Other Professionals,3234
9570,564,TECHNICIANS AND ASSOCIATE PROFESSIONALS,15366
9571,564,Physical and Engineering Science Associate Professionals,674
9572,564,Life Science and Health Associate Professionals,2714
9573,564,Teaching Associate Professionals,8652
9574,564,Other Associate Professionals,3326
9575,564,CLERKS,6994
9576,564,Office Clerks,6652
9577,564,Customer Services Clerks,342
9578,564,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,39248
9579,564,Personal and Protective Service Workers,10704
9580,564,"Models, Sales Persons and Demonstrators",28544
9581,564,SKILLED AGRICULTURAL AND FISHERY WORKERS,5384
9582,564,Market Oriented Skilled Agricultural and Fishery Workers,5384
9583,564,CRAFT AND RELATED TRADES WORKERS,32114
9584,564,Extraction and Building Trades Workers,15692
9585,564,"Metal, Machinery and Related Trades Workers",6238
9586,564,"Precision, Handicraft, Printing and Related Trades Workers",696
9587,564,Other Craft and Related Trades Workers,9488
9588,564,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,15482
9589,564,Stationary Plant and Related Operators,2664
9590,564,Machine Operators and Assemblers,2122
9591,564,Drivers and Mobile-Plant Operators,10696
9592,564,ELEMENTARY OCCUPATIONS,28598
9593,564,Sales and Services Elementary Occupations,4890
9594,564,"Agricultural, Fishery and Related Labourers",4790
9595,564,"Labourers in Mining, Construction, Manufacturing and Transport",18918
9596,564,WORKERS NOT CLASSIFIED BY OCCUPATIONS,9830
9597,564,Workers Not Reporting Any Occupations,9830
9598,565,TOTAL,383271
9599,565,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",18363
9600,565,Legislators and Senior Officials,1252
9601,565,Corporate Managers,16827
9602,565,General Managers,284
9603,565,PROFESSIONALS,20987
9604,565,"Physical, Mathematical and Engineering Science Professionals",6813
9605,565,Life Science and Health Professionals,2395
9606,565,Teaching Professionals,4666
9607,565,Other Professionals,7113
9608,565,TECHNICIANS AND ASSOCIATE PROFESSIONALS,28026
9609,565,Physical and Engineering Science Associate Professionals,2468
9610,565,Life Science and Health Associate Professionals,4094
9611,565,Teaching Associate Professionals,12101
9612,565,Other Associate Professionals,9363
9613,565,CLERKS,16224
9614,565,Office Clerks,14978
9615,565,Customer Services Clerks,1246
9616,565,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,68876
9617,565,Personal and Protective Service Workers,20743
9618,565,"Models, Sales Persons and Demonstrators",48133
9619,565,SKILLED AGRICULTURAL AND FISHERY WORKERS,10027
9620,565,Market Oriented Skilled Agricultural and Fishery Workers,10027
9621,565,CRAFT AND RELATED TRADES WORKERS,80107
9622,565,Extraction and Building Trades Workers,35714
9623,565,"Metal, Machinery and Related Trades Workers",22250
9624,565,"Precision, Handicraft, Printing and Related Trades Workers",1458
9625,565,Other Craft and Related Trades Workers,20685
9626,565,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,50975
9627,565,Stationary Plant and Related Operators,12315
9628,565,Machine Operators and Assemblers,5784
9629,565,Drivers and Mobile-Plant Operators,32876
9630,565,ELEMENTARY OCCUPATIONS,65590
9631,565,Sales and Services Elementary Occupations,15952
9632,565,"Agricultural, Fishery and Related Labourers",6889
9633,565,"Labourers in Mining, Construction, Manufacturing and Transport",42749
9634,565,WORKERS NOT CLASSIFIED BY OCCUPATIONS,24096
9635,565,Workers Not Reporting Any Occupations,24096
9636,566,TOTAL,200098
9637,566,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",7004
9638,566,Legislators and Senior Officials,1382
9639,566,Corporate Managers,5606
9640,566,General Managers,16
9641,566,PROFESSIONALS,10878
9642,566,"Physical, Mathematical and Engineering Science Professionals",1656
9643,566,Life Science and Health Professionals,1290
9644,566,Teaching Professionals,4392
9645,566,Other Professionals,3540
9646,566,TECHNICIANS AND ASSOCIATE PROFESSIONALS,19232
9647,566,Physical and Engineering Science Associate Professionals,1072
9648,566,Life Science and Health Associate Professionals,4488
9649,566,Teaching Associate Professionals,9888
9650,566,Other Associate Professionals,3784
9651,566,CLERKS,7110
9652,566,Office Clerks,6380
9653,566,Customer Services Clerks,730
9654,566,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,39220
9655,566,Personal and Protective Service Workers,14346
9656,566,"Models, Sales Persons and Demonstrators",24874
9657,566,SKILLED AGRICULTURAL AND FISHERY WORKERS,10116
9658,566,Market Oriented Skilled Agricultural and Fishery Workers,10116
9659,566,CRAFT AND RELATED TRADES WORKERS,32918
9660,566,Extraction and Building Trades Workers,13586
9661,566,"Metal, Machinery and Related Trades Workers",7322
9662,566,"Precision, Handicraft, Printing and Related Trades Workers",1156
9663,566,Other Craft and Related Trades Workers,10854
9664,566,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,19762
9665,566,Stationary Plant and Related Operators,2398
9666,566,Machine Operators and Assemblers,2934
9667,566,Drivers and Mobile-Plant Operators,14430
9668,566,ELEMENTARY OCCUPATIONS,37158
9669,566,Sales and Services Elementary Occupations,6986
9670,566,"Agricultural, Fishery and Related Labourers",9250
9671,566,"Labourers in Mining, Construction, Manufacturing and Transport",20922
9672,566,WORKERS NOT CLASSIFIED BY OCCUPATIONS,16700
9673,566,Workers Not Reporting Any Occupations,16700
9674,567,TOTAL,252294
9675,567,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",9404
9676,567,Legislators and Senior Officials,1290
9677,567,Corporate Managers,8042
9678,567,General Managers,72
9679,567,PROFESSIONALS,15378
9680,567,"Physical, Mathematical and Engineering Science Professionals",3176
9681,567,Life Science and Health Professionals,2060
9682,567,Teaching Professionals,5478
9683,567,Other Professionals,4664
9684,567,TECHNICIANS AND ASSOCIATE PROFESSIONALS,23168
9685,567,Physical and Engineering Science Associate Professionals,1438
9686,567,Life Science and Health Associate Professionals,4432
9687,567,Teaching Associate Professionals,11514
9688,567,Other Associate Professionals,5784
9689,567,CLERKS,9720
9690,567,Office Clerks,8802
9691,567,Customer Services Clerks,918
9692,567,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,51588
9693,567,Personal and Protective Service Workers,16002
9694,567,"Models, Sales Persons and Demonstrators",35586
9695,567,SKILLED AGRICULTURAL AND FISHERY WORKERS,7792
9696,567,Market Oriented Skilled Agricultural and Fishery Workers,7792
9697,567,CRAFT AND RELATED TRADES WORKERS,47356
9698,567,Extraction and Building Trades Workers,18252
9699,567,"Metal, Machinery and Related Trades Workers",11962
9700,567,"Precision, Handicraft, Printing and Related Trades Workers",2090
9701,567,Other Craft and Related Trades Workers,15052
9702,567,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,21910
9703,567,Stationary Plant and Related Operators,2618
9704,567,Machine Operators and Assemblers,4264
9705,567,Drivers and Mobile-Plant Operators,15028
9706,567,ELEMENTARY OCCUPATIONS,43950
9707,567,Sales and Services Elementary Occupations,9328
9708,567,"Agricultural, Fishery and Related Labourers",7102
9709,567,"Labourers in Mining, Construction, Manufacturing and Transport",27520
9710,567,WORKERS NOT CLASSIFIED BY OCCUPATIONS,22028
9711,567,Workers Not Reporting Any Occupations,22028
9712,568,TOTAL,272996
9713,568,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12268
9714,568,Legislators and Senior Officials,1346
9715,568,Corporate Managers,10798
9716,568,General Managers,124
9717,568,PROFESSIONALS,18216
9718,568,"Physical, Mathematical and Engineering Science Professionals",3752
9719,568,Life Science and Health Professionals,1950
9720,568,Teaching Professionals,6284
9721,568,Other Professionals,6230
9722,568,TECHNICIANS AND ASSOCIATE PROFESSIONALS,23102
9723,568,Physical and Engineering Science Associate Professionals,1700
9724,568,Life Science and Health Associate Professionals,4896
9725,568,Teaching Associate Professionals,10550
9726,568,Other Associate Professionals,5956
9727,568,CLERKS,12164
9728,568,Office Clerks,11054
9729,568,Customer Services Clerks,1110
9730,568,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,55096
9731,568,Personal and Protective Service Workers,17864
9732,568,"Models, Sales Persons and Demonstrators",37232
9733,568,SKILLED AGRICULTURAL AND FISHERY WORKERS,9384
9734,568,Market Oriented Skilled Agricultural and Fishery Workers,9384
9735,568,CRAFT AND RELATED TRADES WORKERS,51250
9736,568,Extraction and Building Trades Workers,23622
9737,568,"Metal, Machinery and Related Trades Workers",14646
9738,568,"Precision, Handicraft, Printing and Related Trades Workers",2754
9739,568,Other Craft and Related Trades Workers,10228
9740,568,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,26788
9741,568,Stationary Plant and Related Operators,4726
9742,568,Machine Operators and Assemblers,4084
9743,568,Drivers and Mobile-Plant Operators,17978
9744,568,ELEMENTARY OCCUPATIONS,51790
9745,568,Sales and Services Elementary Occupations,10434
9746,568,"Agricultural, Fishery and Related Labourers",13502
9747,568,"Labourers in Mining, Construction, Manufacturing and Transport",27854
9748,568,WORKERS NOT CLASSIFIED BY OCCUPATIONS,12938
9749,568,Workers Not Reporting Any Occupations,12938
9750,569,TOTAL,347814
9751,569,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",17680
9752,569,Legislators and Senior Officials,700
9753,569,Corporate Managers,16920
9754,569,General Managers,60
9755,569,PROFESSIONALS,19384
9756,569,"Physical, Mathematical and Engineering Science Professionals",4196
9757,569,Life Science and Health Professionals,1676
9758,569,Teaching Professionals,5258
9759,569,Other Professionals,8254
9760,569,TECHNICIANS AND ASSOCIATE PROFESSIONALS,19470
9761,569,Physical and Engineering Science Associate Professionals,1674
9762,569,Life Science and Health Associate Professionals,5334
9763,569,Teaching Associate Professionals,6404
9764,569,Other Associate Professionals,6058
9765,569,CLERKS,15970
9766,569,Office Clerks,14772
9767,569,Customer Services Clerks,1198
9768,569,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,58468
9769,569,Personal and Protective Service Workers,28712
9770,569,"Models, Sales Persons and Demonstrators",29756
9771,569,SKILLED AGRICULTURAL AND FISHERY WORKERS,23636
9772,569,Market Oriented Skilled Agricultural and Fishery Workers,23636
9773,569,CRAFT AND RELATED TRADES WORKERS,105318
9774,569,Extraction and Building Trades Workers,32206
9775,569,"Metal, Machinery and Related Trades Workers",10852
9776,569,"Precision, Handicraft, Printing and Related Trades Workers",3668
9777,569,Other Craft and Related Trades Workers,58592
9778,569,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,30564
9779,569,Stationary Plant and Related Operators,4162
9780,569,Machine Operators and Assemblers,6402
9781,569,Drivers and Mobile-Plant Operators,20000
9782,569,ELEMENTARY OCCUPATIONS,47956
9783,569,Sales and Services Elementary Occupations,9750
9784,569,"Agricultural, Fishery and Related Labourers",13812
9785,569,"Labourers in Mining, Construction, Manufacturing and Transport",24394
9786,569,WORKERS NOT CLASSIFIED BY OCCUPATIONS,9368
9787,569,Workers Not Reporting Any Occupations,9368
9788,570,TOTAL,246936
9789,570,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",6986
9790,570,Legislators and Senior Officials,1066
9791,570,Corporate Managers,5856
9792,570,General Managers,64
9793,570,PROFESSIONALS,9008
9794,570,"Physical, Mathematical and Engineering Science Professionals",1450
9795,570,Life Science and Health Professionals,988
9796,570,Teaching Professionals,2878
9797,570,Other Professionals,3692
9798,570,TECHNICIANS AND ASSOCIATE PROFESSIONALS,15278
9799,570,Physical and Engineering Science Associate Professionals,748
9800,570,Life Science and Health Associate Professionals,3664
9801,570,Teaching Associate Professionals,7664
9802,570,Other Associate Professionals,3202
9803,570,CLERKS,6422
9804,570,Office Clerks,5778
9805,570,Customer Services Clerks,644
9806,570,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,32096
9807,570,Personal and Protective Service Workers,10868
9808,570,"Models, Sales Persons and Demonstrators",21228
9809,570,SKILLED AGRICULTURAL AND FISHERY WORKERS,11798
9810,570,Market Oriented Skilled Agricultural and Fishery Workers,11798
9811,570,CRAFT AND RELATED TRADES WORKERS,27158
9812,570,Extraction and Building Trades Workers,13564
9813,570,"Metal, Machinery and Related Trades Workers",6520
9814,570,"Precision, Handicraft, Printing and Related Trades Workers",618
9815,570,Other Craft and Related Trades Workers,6456
9816,570,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,15452
9817,570,Stationary Plant and Related Operators,1440
9818,570,Machine Operators and Assemblers,2236
9819,570,Drivers and Mobile-Plant Operators,11776
9820,570,ELEMENTARY OCCUPATIONS,112858
9821,570,Sales and Services Elementary Occupations,4442
9822,570,"Agricultural, Fishery and Related Labourers",95782
9823,570,"Labourers in Mining, Construction, Manufacturing and Transport",12634
9824,570,WORKERS NOT CLASSIFIED BY OCCUPATIONS,9880
9825,570,Workers Not Reporting Any Occupations,9880
9826,571,TOTAL,361434
9827,571,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",12198
9828,571,Legislators and Senior Officials,2348
9829,571,Corporate Managers,9748
9830,571,General Managers,102
9831,571,PROFESSIONALS,20560
9832,571,"Physical, Mathematical and Engineering Science Professionals",4164
9833,571,Life Science and Health Professionals,2262
